,VAE_0,VAE_1,VAE_2,VAE_3,VAE_4,VAE_5,VAE_6,VAE_7,VAE_8,VAE_9,cell_type,cluster
Cell_0,0.40656728,-0.78799856,-1.4393349,-0.52585477,-2.1689067,-0.51707757,1.4653482,-0.03699366,-0.36777386,-0.6295014,Immune,1
Cell_1,0.8620972,-1.4710393,-1.9096363,-0.8594595,0.060600277,-0.1814793,-0.9050338,-0.99050415,-0.52590346,-1.0592308,Immune,1
Cell_2,-0.012919098,1.2482909,-1.9383779,0.21378866,1.5090961,0.79983944,-1.4746811,-0.85018235,0.111929916,-0.40464857,Immune,1
Cell_3,-0.80428284,0.6944089,-1.9215137,-0.10218366,-0.33270726,-0.76428,-0.7445654,-0.30344403,-0.0018005967,-0.43290627,Immune,1
Cell_4,0.1306321,-1.3238015,-1.5618106,0.4342711,-0.112024784,-0.8525534,-0.3455205,-0.94722015,-0.3753093,-0.84169114,Immune,1
Cell_5,0.5162984,-1.6539567,-1.5679766,-0.2786058,0.33188576,-0.92621326,-0.46859345,0.47887027,0.12625258,-0.5693308,Immune,1
Cell_6,-0.9108391,0.42410472,-2.049639,-1.3816503,-0.49967754,0.15043388,-1.6162851,1.0680183,-0.26702982,-0.41971666,Immune,1
Cell_7,-0.27517128,0.45345557,-1.4631703,-1.1110986,0.32275978,-1.0219392,-0.7383197,0.56145567,0.23366383,-0.75996035,Immune,1
Cell_8,-1.2829456,-0.7501279,-1.6950042,0.4742706,0.6664939,0.9060755,-2.0752213,-0.9625769,1.3179048,-0.4249295,Immune,1
Cell_9,-0.99105024,1.3223543,-1.6569132,-0.2568473,-0.34020078,0.44138688,2.0179267,-0.5407103,0.13190816,-0.003235072,Immune,1
Cell_10,-0.351715,0.9916575,-1.8263276,0.35966337,-0.85787284,-0.26997432,-0.049886312,-1.4125068,-2.2347226,0.10971391,Immune,1
Cell_11,-1.4367783,0.8523186,-1.7576114,0.20600322,0.48148632,-0.45321804,0.2509988,0.055787876,-0.9908601,-0.28901488,Immune,1
Cell_12,-1.7999878,0.60746515,-1.7686641,0.66895616,-0.101196304,0.07499609,-0.3263601,0.098353736,-0.14846441,-0.40648192,Immune,1
Cell_13,1.8980209,1.1391557,-1.586446,-1.0903304,1.3624295,-0.08050908,0.8900604,-0.035566203,0.94576865,0.46360922,Immune,1
Cell_14,0.9182961,0.068779655,-1.8657764,-0.7215157,1.1527245,-1.5403144,0.11799996,0.41134077,1.0964017,-0.2951312,Immune,1
Cell_15,-1.9187754,-1.3111455,-1.960698,-0.9943535,-0.013297766,1.203155,0.66918904,-0.29550594,-0.5557431,-0.5904984,Immune,1
